#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   1217.769854    3.148052    1257.029273    6.693507
3371   489.184624    3.328702    512.633882    2.705977
3374   4069.863957    10.079266    4352.729676    23.441309
