#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   216439    465.230051    207370    455.379489
3371   26099    161.551849    25729    160.404256
3374   236134    485.936210    237733    487.579326
3377   422936    650.335298    517364    719.280287
