#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   290448    538.932278    218339    467.268448
3371   40723    201.799405    29341    171.292915
3374   314348    560.667459    244572    494.542830
3377   596216    772.150244    531164    728.810432
