#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   132762    364.365201    136747    369.793336
3371   19071    138.097791    19953    141.257757
3374   138438    372.072574    146720    383.040846
3377   249214    499.213381    278385    527.622705
