#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   132762    364.365201    146096    382.225670
3371   19071    138.097791    21041    145.057734
3374   138438    372.072574    162463    403.067404
3377   249214    499.213381    326299    571.226488
