#! Run[i,0]/   Em_cut[f,1]/    dataY[f,2]/     dataY_err[f,3]/     simcY[f,4]/     simcY_err[f,5]/
3288   0.000000    1611.156621    466.069737    1554.437693    218.050453
3288   0.030000    936.841282    355.385706    1050.433403    179.134028
3288   0.060000    1052.123767    376.617843    1152.495662    187.739181
3288   0.090000    1117.581779    388.157185    1213.132342    192.714815
3371   0.000000    557.370541    162.141913    566.238851    207.154532
3371   0.030000    385.068593    134.770175    431.996718    182.597919
3371   0.060000    433.173234    142.940547    474.100401    191.133461
3371   0.090000    459.250020    147.180162    497.505293    195.657865
3374   0.000000    5656.239922    487.674071    5656.002606    220.397368
3374   0.030000    3146.071763    363.745790    3674.198230    177.389402
3374   0.060000    3512.075070    384.322781    4021.112852    185.634049
3374   0.090000    3723.147100    395.703172    4211.158125    190.036839
3377   0.000000    14631.452860    657.372041    16488.990151    220.721544
3377   0.030000    8110.872853    489.468079    10524.927651    175.786803
3377   0.060000    9078.112799    517.830088    11497.028975    183.777039
3377   0.090000    9622.892920    533.140694    12047.985441    188.183421
