#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   132406    363.876353    146316    382.513569
3371   18794    137.091211    20561    143.393837
3374   137343    370.598165    160709    400.885672
3377   244023    493.986842    344876    587.262102
