#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
0.0008    -0.0015    -0.0005    2345.5749    146.5984    984.3625    82.0302    1361.2124    1361.2124
0.0006    -0.0015    -0.0005    2346.5221    146.6576    1020.4409    85.0367    1326.0812    1326.0812
0.001    -0.0015    -0.0005    2418.7426    151.1714    1007.9393    83.9949    1410.8032    1410.8032
0.0004    -0.0015    -0.0005    2421.5842    151.349    1116.1747    93.0146    1305.4095    1305.4095
0.001    -0.001    -0.0005    2448.7873    153.0492    1209.6911    100.8076    1239.0962    1239.0962
0.0006    -0.0025    0.0    2496.449    156.0281    1241.5194    103.46    1254.9296    1254.9296
0.0008    -0.0025    0.0    2512.1701    157.0106    1293.2065    107.7672    1218.9636    1218.9636
0.001    0.0    -0.001    2518.0719    157.3795    1425.453    118.7877    1092.6189    1092.6189
0.0004    -0.0025    0.0    2554.8429    159.6777    1249.4878    104.124    1305.3552    1305.3552
0.0002    -0.0015    -0.0005    2570.7612    160.6726    1271.5638    105.9636    1299.1974    1299.1974
0.001    -0.0025    0.0    2602.006    162.6254    1404.5488    117.0457    1197.4572    1197.4572
0.0002    -0.0025    0.0    2687.3516    167.9595    1317.1114    109.7593    1370.2402    1370.2402
0.0008    -0.0005    -0.001    2698.0702    168.6294    840.0129    70.0011    1858.0573    1858.0573
0.0006    -0.0005    -0.001    2715.6856    169.7304    963.8568    80.3214    1751.8288    1751.8288
0.001    -0.0005    -0.001    2754.5696    172.1606    775.8243    64.652    1978.7453    1978.7453
-0.0    -0.0015    -0.0005    2794.053    174.6283    1486.6082    123.884    1307.4448    1307.4448
0.0008    -0.001    -0.0005    2807.0404    175.44    1475.3114    122.9426    1331.729    1331.729
0.0004    -0.0005    -0.001    2807.416    175.4635    1147.356    95.613    1660.0599    1660.0599
0.0008    0.0    -0.001    2892.9933    180.8121    1778.8388    148.2366    1114.1545    1114.1545
-0.0    -0.0025    0.0    2893.9753    180.8735    1444.3904    120.3659    1449.5849    1449.5849
0.001    -0.002    0.0    2898.5931    181.1621    1158.4236    96.5353    1740.1695    1740.1695
0.0002    -0.0005    -0.001    2973.2612    185.8288    1390.5106    115.8759    1582.7506    1582.7506
-0.0002    -0.0015    -0.0005    3091.4598    193.2162    1761.308    146.7757    1330.1518    1330.1518
0.001    0.001    -0.0015    3106.447    194.1529    1805.7093    150.4758    1300.7377    1300.7377
-0.0006    -0.003    0.0    3148.5546    196.7847    1609.9194    134.16    1538.6352    1538.6352
-0.0004    -0.003    0.0    3151.0072    196.938    1592.8717    132.7393    1558.1355    1558.1355
0.0006    -0.0035    0.0005    3165.4664    197.8417    1627.0924    135.591    1538.3741    1538.3741
-0.0002    -0.0025    0.0    3174.7138    198.4196    1631.3247    135.9437    1543.3891    1543.3891
0.0008    -0.0035    0.0005    3197.8557    199.866    1766.5449    147.2121    1431.3108    1431.3108
0.0004    -0.0035    0.0005    3207.1921    200.4495    1547.2952    128.9413    1659.8968    1659.8968
-0.0    -0.0005    -0.001    3213.2212    200.8263    1693.3205    141.11    1519.9007    1519.9007
-0.0008    -0.003    0.0    3220.2169    201.2636    1686.6225    140.5519    1533.5945    1533.5945
-0.0002    -0.003    0.0    3227.5747    201.7234    1635.4793    136.2899    1592.0954    1592.0954
