#! kin_group[i,0]/    Run[i,1]/   	nmr_true[f,2]/	     nmr_P[f,3]/      hms_Angle[f,4]/   shms_P[f,5]/    shms_Angle[f,6]/   beam_e[f,7]/   x_BPM[f,8]/    y_BPM[f,9]/    hmsX_MisPoint[f,10]/   hmsY_MisPoint[f,11]/    shmsX_MisPoint[f,12]/     shmsY_MisPoint[f,13]/     data_W_mean[f,14]/   data_W_mean_err[f,15]/     simc_W_mean[f,16]/       simc_W_mean_err[f,17]/       comments[s,18]/	  	      	      		    
   1	              0			0.988186	     3.6096	      27.502	        3.609	        27.619	           6.42765	  0.04499        0.005489	0.091246      	       0.170270		       -0.126000		 -0.060000                 0.9235               0.0002                     0.944                    0.0                          ep-coincidence                                                                                            
   2	              0			0.988187	     3.6096	      27.511	        3.609	        27.62   	   6.42765	  0.04465        0.005356	0.091228      	       0.170358		       -0.126000   	 	 -0.060000                 0.9234               0.0003                     0.944                    0.0                          ep-coincidence
   3	              0			0.510311	     1.864	      50.002	        5.41	        15.38   	   6.42765	  0.044736       0.007145 	0.107000               0.324000		       -0.126000		 -0.060000                 0.9327               0.0012                     0.946                    0.0                          ep-coincidence
   4                  0         	0.583401	     2.131	      45.109	        5.122           17.119  	   6.42765        0.04453        0.005324	0.093241               0.324000		       -0.126000		 -0.060000                 0.9351               0.0002                     0.9457                   0.0001                       ep-coincidence                                                   
   6                  0			0.816369	     2.982	      39.28	        8.505           12.799		   10.6005        0.008632       0.005428       0.084342               0.313448		       -0.126000		 -0.060000                 0.9182               0.0014                     0.948                    0.0                          ep-coincidence                       
   10                 1929		0.786085	     2.8714	      35.0	    	4.38   	    	22.049		   6.42765        0.04431        0.005469       0.083000               0.255000                -0.126000		 -0.060000                 0.9261               0.0003                     0.9446                   0.0001                       ep-coincidence
