#!run[i,0]/   x[i,1]/    residual[f,2]/    residual_err[f,3]/   dW_obs[f,4]/   dW_obs_err[f,5]/    dW_model[f,6]/    dW_model_err[f,7]/
6595  0   0.00210961   0.000332388   -0.005725   0.000306078   -0.00783461   0.000129608
6601  1   0.00124136   0.000309372   -0.006673   0.000292702   -0.00791436   0.000100185
6602  2   0.00148539   0.000293184   -0.006223   0.000278456   -0.00770839   9.17566e-05
6609  3   0.00196587   0.000285348   -0.006261   0.000269361   -0.00822687   9.41683e-05
6611  4   0.000432314   0.000276668   -0.006423   0.000257583   -0.00685531   0.000100975
6634  5   6.74832e-05   0.000334264   -0.003526   0.000259178   -0.00359348   0.000211091
6871  6   -0.00336952   0.000511448   -0.014168   0.000441808   -0.0107985   0.000257654
6875  7   -0.000289497   0.000471093   -0.013037   0.000427296   -0.0127475   0.000198359
6876  8   0.000774067   0.000455447   -0.01357   0.000401557   -0.0143441   0.000214904
6879  9   -0.00267572   0.000459424   -0.01262   0.000392442   -0.00994428   0.000238873
6881  10   -0.000116253   0.000493247   -0.013886   0.000410583   -0.0137697   0.000273339
