#! Run[i,0]/    dataY[f,1]/     dataY_err[f,2]/     simcY[f,3]/     simcY_err[f,4]/
3288   133163    364.915059    146729    383.052703
3371   18971    137.735253    21278    145.869844
3374   137771    371.175161    162454    403.056798
3377   244451    494.419862    325709    570.709558
