#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
0.0008    -0.001    -0.0005    12690.3729    667.9144    11965.0382    797.6692    725.3347    725.3347
0.001    0.0    -0.001    13161.5098    692.711    12586.7791    839.1186    574.7307    574.7307
0.0006    -0.001    -0.0005    13250.8162    697.4114    12462.8944    830.8596    787.9218    787.9218
0.0006    -0.0005    -0.001    13557.516    713.5535    12670.224    844.6816    887.2921    887.2921
0.001    -0.001    -0.0005    13626.2807    717.1727    12955.3574    863.6905    670.9233    670.9233
0.001    0.0005    -0.0015    13957.9566    734.6293    12489.4111    832.6274    1468.5455    1468.5455
0.0002    -0.0015    -0.0005    14137.6075    744.0846    13455.1744    897.0116    682.433    682.433
0.0008    -0.0005    -0.001    14223.958    748.6294    13283.3083    885.5539    940.6497    940.6497
-0.0    -0.0015    -0.0005    14225.3036    748.7002    13532.7685    902.1846    692.5351    692.5351
0.001    -0.0015    0.0    14242.0704    749.5827    12215.6638    814.3776    2026.4066    2026.4066
0.0002    -0.002    0.0    14320.6546    753.7187    12943.1472    862.8765    1377.5074    1377.5074
0.0004    -0.0005    -0.001    14387.4252    757.2329    13545.315    903.021    842.1102    842.1102
0.0004    -0.002    0.0    14502.4243    763.2855    13242.7881    882.8525    1259.6362    1259.6362
0.0008    -0.0015    0.0    14533.0479    764.8973    12336.2851    822.419    2196.7628    2196.7628
-0.0004    -0.0025    0.0    15043.7139    791.7744    14124.3595    941.624    919.3545    919.3545
0.0004    -0.001    -0.0005    15307.6107    805.6637    14448.9259    963.2617    858.6848    858.6848
0.0008    0.0005    -0.0015    15530.0787    817.3726    14161.9991    944.1333    1368.0796    1368.0796
0.0004    -0.0015    -0.0005    15546.2625    818.2243    14865.7558    991.0504    680.5067    680.5067
-0.0    -0.002    0.0    15635.236    822.9072    14131.6817    942.1121    1503.5543    1503.5543
-0.0002    -0.0025    0.0    15698.2309    826.2227    14844.2625    989.6175    853.9684    853.9684
0.001    -0.0005    -0.0005    15741.3232    828.4907    14373.664    958.2443    1367.6592    1367.6592
-0.0002    -0.0015    -0.0005    15809.3508    832.0711    15098.5378    1006.5692    710.8129    710.8129
-0.0006    -0.0025    0.0    15885.5481    836.0815    14892.6318    992.8421    992.9163    992.9163
0.0008    0.0    -0.001    15960.5173    840.0272    15370.3076    1024.6872    590.2097    590.2097
-0.0006    -0.002    -0.0005    16135.2435    849.2233    15176.9926    1011.7995    958.2509    958.2509
0.0006    -0.002    0.0    16180.5451    851.6076    15030.6043    1002.0403    1149.9409    1149.9409
-0.0    -0.001    -0.001    16191.6312    852.1911    14623.3721    974.8915    1568.2591    1568.2591
0.0006    -0.0015    0.0    16320.3765    858.9672    13945.0817    929.6721    2375.2948    2375.2948
-0.0002    -0.003    0.0005    16371.0249    861.6329    14027.5376    935.1692    2343.4873    2343.4873
0.001    -0.0005    -0.001    16386.7512    862.4606    15384.568    1025.6379    1002.1832    1002.1832
-0.0004    -0.002    -0.0005    16520.2947    869.4892    15519.6607    1034.644    1000.6339    1000.6339
-0.0002    -0.001    -0.001    16548.7931    870.9891    15078.201    1005.2134    1470.5921    1470.5921
-0.001    -0.003    0.0    16702.2259    879.0645    15879.9218    1058.6615    822.3041    822.3041
0.0002    -0.0005    -0.001    16713.6854    879.6677    15908.5814    1060.5721    805.104    805.104
0.0004    -0.0025    0.0005    16834.8462    886.0445    13309.3373    887.2892    3525.5089    3525.5089
-0.0008    -0.0035    0.0005    16842.6563    886.4556    15320.088    1021.3392    1522.5682    1522.5682
0.0004    0.0    -0.0015    16843.4998    886.5    14331.221    955.4147    2512.2788    2512.2788
-0.001    -0.0035    0.0005    16942.2774    891.6988    15290.8634    1019.3909    1651.414    1651.414
-0.0004    -0.003    0.0005    16943.3933    891.7575    14418.5751    961.2383    2524.8182    2524.8182
0.0006    0.0    -0.0015    17240.476    907.3935    14567.0705    971.138    2673.4055    2673.4055
-0.0008    -0.002    -0.0005    17246.5435    907.7128    16322.4999    1088.1667    924.0437    924.0437
0.0006    -0.0025    0.0005    17286.0817    909.7938    13986.213    932.4142    3299.8687    3299.8687
-0.0    -0.003    0.0005    17295.0077    910.2636    15124.6755    1008.3117    2170.3322    2170.3322
0.0002    -0.001    -0.001    17330.8205    912.1484    15656.7186    1043.7812    1674.1019    1674.1019
-0.0008    -0.003    0.0    17829.4901    938.3942    17020.0869    1134.6725    809.4031    809.4031
-0.0    -0.0025    0.0    17849.0989    939.4263    17052.3408    1136.8227    796.7582    796.7582
0.0002    -0.0025    0.0005    17879.9618    941.0506    14120.6369    941.3758    3759.3249    3759.3249
0.0002    0.0    -0.0015    17942.8747    944.3618    15583.5469    1038.9031    2359.3278    2359.3278
0.001    0.001    -0.002    18130.6634    954.2454    14081.5599    938.7707    4049.1035    4049.1035
-0.0008    -0.0025    0.0    18223.7334    959.1439    17149.0796    1143.272    1074.6539    1074.6539
0.001    -0.002    0.0005    18234.1201    959.6905    13165.487    877.6991    5068.6331    5068.6331
-0.0006    -0.0035    0.0005    18239.3862    959.9677    16837.488    1122.4992    1401.8982    1401.8982
-0.0002    -0.002    -0.0005    18401.6969    968.5104    17350.5042    1156.7003    1051.1927    1051.1927
-0.0004    -0.001    -0.001    18402.3062    968.5424    17021.2053    1134.747    1381.1009    1381.1009
-0.0002    -0.002    0.0    18446.1686    970.851    16808.3916    1120.5594    1637.777    1637.777
0.0006    -0.0015    -0.0005    18451.2687    971.1194    17764.5125    1184.3008    686.7562    686.7562
0.0008    0.001    -0.002    18475.9003    972.4158    14643.2075    976.2138    3832.6928    3832.6928
0.0006    0.0005    -0.0015    18598.552    978.8712    17322.7625    1154.8508    1275.7895    1275.7895
0.0002    -0.001    -0.0005    18860.7563    992.6714    17923.1328    1194.8755    937.6235    937.6235
-0.0004    -0.0015    -0.0005    18889.7492    994.1973    18152.4826    1210.1655    737.2666    737.2666
-0.0006    -0.003    0.0005    19012.1128    1000.6375    16297.7879    1086.5192    2714.3249    2714.3249
0.0008    0.0    -0.0015    19133.8033    1007.0423    16291.0953    1086.073    2842.708    2842.708
-0.0008    -0.004    0.001    19232.0826    1012.2149    15309.606    1020.6404    3922.4765    3922.4765
0.0008    -0.0025    0.0005    19233.6684    1012.2983    16151.2641    1076.7509    3082.4043    3082.4043
