#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
0.0008    -0.002    0.0    19355.0171    1018.6851    18306.5958    1220.4397    1048.4213    1048.4213
-0.0006    -0.004    0.001    19401.9272    1021.1541    15716.0655    1047.7377    3685.8617    3685.8617
0.0004    -0.0015    0.0    19604.0563    1031.7924    17042.0537    1136.1369    2562.0026    2562.0026
-0.0008    -0.0015    -0.001    19645.6137    1033.9797    17185.4371    1145.6958    2460.1766    2460.1766
0.0002    -0.003    0.0005    19715.3415    1037.6496    17709.9887    1180.6659    2005.3529    2005.3529
0.0008    -0.002    0.0005    19751.983    1039.5781    14397.0488    959.8033    5354.9342    5354.9342
-0.0006    -0.0015    -0.001    19761.1991    1040.0631    17150.8703    1143.3914    2610.3287    2610.3287
0.0008    -0.0005    -0.0005    19767.216    1040.3798    18268.133    1217.8755    1499.083    1499.083
-0.001    -0.0025    -0.0005    19838.4345    1044.1281    18158.4971    1210.5665    1679.9374    1679.9374
-0.001    -0.002    -0.0005    19854.1947    1044.9576    18956.1825    1263.7455    898.0122    898.0122
0.0004    -0.001    -0.001    19966.3608    1050.8611    18178.2404    1211.8827    1788.1205    1788.1205
-0.0    -0.0035    0.001    20117.1765    1058.7988    14886.527    992.4351    5230.6495    5230.6495
0.0006    0.0    -0.001    20255.876    1066.0987    19642.0115    1309.4674    613.8645    613.8645
0.0006    0.001    -0.002    20317.4882    1069.3415    16693.0304    1112.8687    3624.4579    3624.4579
-0.0002    -0.0035    0.001    20420.0791    1074.741    14900.3296    993.3553    5519.7494    5519.7494
-0.0    -0.0025    0.0005    20421.4286    1074.812    16420.1119    1094.6741    4001.3167    4001.3167
-0.0006    -0.003    0.0    20453.1054    1076.4792    19648.4274    1309.8952    804.678    804.678
-0.0    -0.0005    -0.001    20536.2968    1080.8577    19760.0231    1317.3349    776.2737    776.2737
-0.0    0.0    -0.0015    20538.6008    1080.979    18324.0482    1221.6032    2214.5526    2214.5526
-0.001    -0.004    0.001    20558.589    1082.031    16391.3219    1092.7548    4167.2672    4167.2672
-0.0002    -0.0005    -0.0015    20664.4956    1087.605    16747.381    1116.4921    3917.1145    3917.1145
-0.001    -0.0015    -0.001    21026.3795    1106.6516    18708.1792    1247.2119    2318.2003    2318.2003
-0.0004    -0.004    0.001    21068.123    1108.8486    17610.7004    1174.0467    3457.4226    3457.4226
-0.0004    -0.0035    0.0005    21132.4674    1112.2351    19843.0634    1322.8709    1289.404    1289.404
-0.0004    -0.0005    -0.0015    21291.1233    1120.5854    17579.4448    1171.963    3711.6785    3711.6785
0.0002    -0.0035    0.001    21310.625    1121.6118    16360.8997    1090.7266    4949.7253    4949.7253
-0.0004    -0.0015    -0.001    21373.1355    1124.9019    18604.4789    1240.2986    2768.6566    2768.6566
0.001    0.0015    -0.002    21463.9506    1129.6816    19341.0812    1289.4054    2122.8695    2122.8695
0.0002    -0.0025    0.0    21496.3182    1131.3852    20748.5945    1383.2396    747.7237    747.7237
-0.0    -0.0005    -0.0015    21534.219    1133.3799    17403.4926    1160.2328    4130.7264    4130.7264
0.001    -0.001    0.0    21697.3967    1141.9682    17850.0659    1190.0044    3847.3308    3847.3308
-0.0006    -0.001    -0.001    21752.1703    1144.8511    20452.3849    1363.4923    1299.7855    1299.7855
0.0006    -0.003    0.001    21767.8784    1145.6778    14631.3386    975.4226    7136.5398    7136.5398
-0.0    -0.002    -0.0005    21779.4503    1146.2869    20669.523    1377.9682    1109.9273    1109.9273
-0.001    -0.0025    0.0    22058.2699    1160.9616    20893.7026    1392.9135    1164.5673    1164.5673
-0.0008    -0.0025    -0.0005    22192.584    1168.0307    20409.6027    1360.6402    1782.9813    1782.9813
-0.0004    -0.0035    0.001    22219.3328    1169.4386    16402.3076    1093.4872    5817.0252    5817.0252
0.0008    -0.003    0.001    22488.5797    1183.6095    15685.4492    1045.6966    6803.1305    6803.1305
0.001    0.0    -0.0015    22523.4818    1185.4464    19503.2954    1300.2197    3020.1863    3020.1863
0.0004    -0.003    0.001    22543.5282    1186.5015    15065.4033    1004.3602    7478.1249    7478.1249
0.0002    0.0005    -0.002    22548.3241    1186.7539    16948.0293    1129.8686    5600.2947    5600.2947
-0.0008    -0.003    0.0005    22577.1835    1188.2728    19665.1761    1311.0117    2912.0073    2912.0073
0.001    0.001    -0.0015    22631.5276    1191.133    21965.0278    1464.3352    666.4998    666.4998
0.0004    0.0005    -0.002    22675.8345    1193.465    16806.6439    1120.4429    5869.1906    5869.1906
0.001    -0.0025    0.0005    22677.6062    1193.5582    19804.4905    1320.2994    2873.1156    2873.1156
-0.0004    -0.002    0.0    22753.4523    1197.5501    20973.2768    1398.2185    1780.1755    1780.1755
0.0006    -0.002    0.0005    22766.1969    1198.2209    17116.7859    1141.1191    5649.4111    5649.4111
0.0008    -0.0015    -0.0005    22852.626    1202.7698    22151.4445    1476.763    701.1815    701.1815
0.0004    0.0005    -0.0015    23163.3765    1219.1251    21971.7013    1464.7801    1191.6752    1191.6752
-0.0006    -0.0005    -0.0015    23414.1021    1232.3212    19899.684    1326.6456    3514.4182    3514.4182
-0.0006    -0.0015    -0.0005    23466.4986    1235.0789    22694.6027    1512.9735    771.896    771.896
-0.001    -0.004    0.0005    23485.0458    1236.055    22550.4882    1503.3659    934.5576    934.5576
0.0004    -0.003    0.0005    23632.0266    1243.7909    21783.4772    1452.2318    1848.5493    1848.5493
0.0004    0.001    -0.002    23655.4273    1245.0225    20231.0287    1348.7352    3424.3987    3424.3987
0.0002    -0.0005    -0.0015    23900.2936    1257.9102    19547.7796    1303.1853    4352.514    4352.514
-0.0    -0.001    -0.0005    23910.253    1258.4344    22885.515    1525.701    1024.738    1024.738
-0.0    0.0005    -0.002    23917.1648    1258.7981    18577.5901    1238.506    5339.5747    5339.5747
0.0004    -0.0035    0.001    24000.4247    1263.1802    19323.4478    1288.2299    4676.9769    4676.9769
0.001    -0.002    0.0    24025.8402    1264.5179    23070.7628    1538.0509    955.0775    955.0775
0.0006    -0.001    -0.001    24098.2523    1268.3291    22187.9375    1479.1958    1910.3148    1910.3148
-0.0002    -0.004    0.001    24230.6699    1275.2984    20993.5106    1399.5674    3237.1593    3237.1593
0.0006    0.0005    -0.002    24299.696    1278.9314    18153.4338    1210.2289    6146.2622    6146.2622
0.0002    -0.0015    0.0    24384.0872    1283.373    21627.201    1441.8134    2756.8862    2756.8862
-0.0002    -0.0025    0.0005    24459.2464    1287.3288    20207.7622    1347.1841    4251.4842    4251.4842
-0.0002    -0.0015    -0.001    24481.4231    1288.496    21546.2629    1436.4175    2935.1603    2935.1603
-0.0004    -0.003    0.0    24573.0718    1293.3196    23764.9432    1584.3295    808.1286    808.1286
-0.0002    0.0    -0.0015    24630.678    1296.3515    22552.7248    1503.515    2077.9532    2077.9532
0.001    -0.003    0.001    24705.6322    1300.2964    18227.7351    1215.1823    6477.897    6477.897
0.0002    -0.003    0.001    24815.5291    1306.0805    16987.6434    1132.5096    7827.8857    7827.8857
0.0006    -0.0005    -0.0005    25289.46    1331.0242    23650.7774    1576.7185    1638.6826    1638.6826
-0.0008    -0.001    -0.0015    25420.944    1337.9444    19737.8912    1315.8594    5683.0529    5683.0529
-0.0006    -0.0035    0.001    25514.9376    1342.8915    19392.4609    1292.8307    6122.4767    6122.4767
-0.0002    -0.0035    0.0005    25521.8996    1343.2579    24336.8141    1622.4543    1185.0855    1185.0855
-0.001    -0.001    -0.0015    25574.8245    1346.0434    20149.6928    1343.3129    5425.1317    5425.1317
0.001    -0.0025    0.001    25602.43    1347.4963    15804.8271    1053.6551    9797.6028    9797.6028
-0.0002    -0.0005    -0.001    25855.2594    1360.8031    25099.6402    1673.3093    755.6191    755.6191
-0.0006    -0.0025    -0.0005    26043.0846    1370.6887    24148.8837    1609.9256    1894.201    1894.201
0.0004    0.0    -0.001    26047.5857    1370.9256    25401.8907    1693.4594    645.695    645.695
0.0002    -0.004    0.0015    26282.1686    1383.272    16701.3277    1113.4218    9580.8409    9580.8409
-0.0    -0.004    0.0015    26315.6054    1385.0319    16337.8955    1089.193    9977.71    9977.71
-0.001    -0.002    -0.001    26350.9032    1386.8896    22126.5894    1475.106    4224.3139    4224.3139
-0.0008    -0.001    -0.001    26598.3856    1399.915    25371.7398    1691.4493    1226.6458    1226.6458
0.0004    -0.0025    0.0    26639.8885    1402.0994    25933.0235    1728.8682    706.865    706.865
0.0002    -0.002    -0.0005    26653.5549    1402.8187    25476.7172    1698.4478    1176.8377    1176.8377
-0.0006    -0.001    -0.0015    26763.4147    1408.6008    20814.2649    1387.6177    5949.1498    5949.1498
0.0008    0.0015    -0.002    26770.9881    1408.9994    24787.5169    1652.5011    1983.4712    1983.4712
-0.0002    0.0005    -0.002    26782.3567    1409.5977    21695.3263    1446.3551    5087.0304    5087.0304
0.0008    -0.001    0.0    26950.1749    1418.4303    22855.4754    1523.6984    4094.6995    4094.6995
-0.0008    -0.0005    -0.0015    27033.4321    1422.8122    23708.0984    1580.5399    3325.3337    3325.3337
0.001    0.0005    -0.001    27175.3647    1430.2824    26278.4913    1751.8994    896.8734    896.8734
0.0004    -0.002    0.0005    27276.7621    1435.6191    21324.6984    1421.6466    5952.0637    5952.0637
0.0008    0.0005    -0.002    27419.9087    1443.1531    20988.3991    1399.2266    6431.5095    6431.5095
-0.0004    0.0    -0.002    27556.2005    1450.3263    19827.2013    1321.8134    7728.9992    7728.9992
-0.001    -0.003    0.0005    27638.6053    1454.6634    24520.7397    1634.716    3117.8655    3117.8655
0.0004    -0.004    0.0015    27745.083    1460.2675    18552.9353    1236.8624    9192.1477    9192.1477
0.0004    -0.0005    -0.0015    27762.7193    1461.1958    23180.2419    1545.3495    4582.4774    4582.4774
-0.0002    -0.004    0.0015    27845.3933    1465.547    17462.6386    1164.1759    10382.7548    10382.7548
-0.0002    0.0    -0.002    28156.4581    1481.9188    20106.078    1340.4052    8050.3801    8050.3801
0.0006    -0.0035    0.001    28186.5755    1483.504    23774.1713    1584.9448    4412.4043    4412.4043
0.0008    -0.0025    0.001    28347.1782    1491.9567    18147.3294    1209.822    10199.8488    10199.8488
-0.0008    -0.004    0.0005    28347.2253    1491.9592    27464.501    1830.9667    882.7243    882.7243
-0.0006    0.0    -0.002    28452.294    1497.4892    21036.4999    1402.4333    7415.7941    7415.7941
0.0002    0.001    -0.002    28489.7176    1499.4588    25257.2023    1683.8135    3232.5153    3232.5153
-0.0006    -0.002    0.0    28557.0871    1503.0046    26626.3374    1775.0892    1930.7497    1930.7497
-0.0    -0.003    0.001    28583.8812    1504.4148    20398.0589    1359.8706    8185.8223    8185.8223
-0.001    -0.0035    0.0    28585.2781    1504.4883    27355.6421    1823.7095    1229.6361    1229.6361
0.001    -0.0015    -0.0005    28750.3344    1513.1755    28026.5519    1868.4368    723.7825    723.7825
-0.0    -0.004    0.001    28889.568    1520.5036    25864.4962    1724.2997    3025.0718    3025.0718
0.0006    -0.003    0.0005    29045.0627    1528.6875    27345.1412    1823.0094    1699.9215    1699.9215
-0.0    -0.0015    -0.001    29086.0619    1530.8454    25976.2222    1731.7481    3109.8397    3109.8397
0.0008    -0.0035    0.0015    29119.7512    1532.6185    16909.1512    1127.2767    12210.6    12210.6
0.0008    0.001    -0.0015    29165.4504    1535.0237    28522.404    1901.4936    643.0464    643.0464
0.0002    0.0005    -0.0015    29224.5521    1538.1343    28108.8154    1873.921    1115.7367    1115.7367
-0.0008    -0.0015    -0.0005    29539.5993    1554.7158    28724.8981    1914.9932    814.7012    814.7012
-0.0004    -0.001    -0.0015    29602.2365    1558.0124    23378.814    1558.5876    6223.4225    6223.4225
0.0006    -0.0035    0.0015    29625.9352    1559.2597    16965.9811    1131.0654    12659.9541    12659.9541
0.0008    -0.001    -0.001    29726.495    1564.5524    27685.8101    1845.7207    2040.6849    2040.6849
-0.0008    -0.002    -0.001    29931.9381    1575.3652    25488.6354    1699.2424    4443.3026    4443.3026
-0.0004    -0.0025    0.0005    29993.4155    1578.6008    25483.5879    1698.9059    4509.8276    4509.8276
0.001    -0.0035    0.0015    30109.9183    1584.7325    18340.4967    1222.6998    11769.4216    11769.4216
-0.0002    -0.003    0.0    30189.3894    1588.9152    29369.6344    1957.9756    819.755    819.755
-0.0004    0.0    -0.0015    30219.1063    1590.4793    28269.5768    1884.6385    1949.5295    1949.5295
-0.0    0.0    -0.002    30253.0669    1592.2667    21873.1301    1458.2087    8379.9368    8379.9368
-0.0008    -0.0035    0.001    30306.8936    1595.0997    23870.7896    1591.386    6436.104    6436.104
-0.0002    -0.001    -0.0005    30456.1009    1602.9527    29336.0726    1955.7382    1120.0283    1120.0283
-0.0    -0.0015    0.0    30660.4693    1613.7089    27700.5237    1846.7016    2959.9456    2959.9456
0.0006    -0.004    0.0015    30704.3485    1616.0183    21892.7183    1459.5146    8811.6302    8811.6302
-0.0008    0.0    -0.002    30844.7387    1623.4073    23733.9739    1582.2649    7110.7647    7110.7647
-0.0004    -0.004    0.0015    30871.5324    1624.8175    20075.557    1338.3705    10795.9754    10795.9754
0.001    -0.0015    0.0005    31029.7303    1633.1437    23015.9846    1534.399    8013.7457    8013.7457
-0.0004    0.0005    -0.002    31143.8997    1639.1526    26301.2377    1753.4158    4842.662    4842.662
-0.0004    -0.0025    -0.0005    31389.9364    1652.1019    29376.34    1958.4227    2013.5964    2013.5964
-0.0    -0.0035    0.0005    31407.683    1653.0359    30318.7401    2021.2493    1088.9428    1088.9428
0.0004    -0.0035    0.0015    31628.4703    1664.6563    18510.9863    1234.0658    13117.484    13117.484
0.001    0.0005    -0.002    32036.4724    1686.1301    25311.5398    1687.436    6724.9327    6724.9327
-0.001    -0.0005    -0.0015    32149.1132    1692.0586    29004.6883    1933.6459    3144.4249    3144.4249
0.0004    -0.0005    -0.0005    32308.0551    1700.424    30521.5971    2034.7731    1786.458    1786.458
0.0006    -0.0025    0.001    32588.2775    1715.1725    21978.007    1465.2005    10610.2705    10610.2705
-0.0004    -0.0005    -0.001    32670.573    1719.5038    31927.4327    2128.4955    743.1403    743.1403
-0.001    -0.001    -0.001    32940.9521    1733.7343    31779.2702    2118.618    1161.6819    1161.6819
0.0004    -0.002    -0.0005    33024.0106    1738.1058    31772.0867    2118.1391    1251.9238    1251.9238
0.0006    -0.0005    -0.0015    33121.4961    1743.2366    28300.8795    1886.7253    4820.6166    4820.6166
0.0006    -0.0025    0.0    33279.81    1751.5689    32605.628    2173.7085    674.182    674.182
0.0002    -0.002    0.0005    33283.6783    1751.7725    27020.7862    1801.3857    6262.8921    6262.8921
0.0002    0.0    -0.001    33335.6466    1754.5077    32649.9453    2176.663    685.7013    685.7013
-0.001    -0.0005    -0.002    33499.5296    1763.1331    23280.7233    1552.0482    10218.8063    10218.8063
0.0006    0.0015    -0.002    33574.3767    1767.0725    31722.128    2114.8085    1852.2487    1852.2487
0.0006    -0.001    0.0    33699.3042    1773.6476    29349.0602    1956.604    4350.244    4350.244
0.0002    0.0    -0.002    33846.0268    1781.3698    25128.3575    1675.2238    8717.6693    8717.6693
-0.0002    -0.003    0.001    33848.5844    1781.5044    25296.6497    1686.4433    8551.9347    8551.9347
0.0008    -0.0035    0.001    33869.0775    1782.583    29713.0701    1980.8713    4156.0074    4156.0074
-0.0002    -0.001    -0.0015    33937.4094    1786.1794    27431.5384    1828.7692    6505.871    6505.871
-0.0008    -0.0005    -0.002    34572.5345    1819.6071    23979.8622    1598.6575    10592.6723    10592.6723
-0.0008    -0.0035    0.0    34674.343    1824.9654    33380.5954    2225.373    1293.7475    1293.7475
-0.0006    -0.004    0.0005    34705.7559    1826.6187    33866.6892    2257.7793    839.0667    839.0667
-0.001    0.0    -0.002    34733.5345    1828.0808    27919.6233    1861.3082    6813.9112    6813.9112
-0.0    0.001    -0.002    34820.359    1832.6505    31771.5513    2118.1034    3048.8077    3048.8077
0.0008    0.0005    -0.001    34936.1729    1838.7459    33946.8081    2263.1205    989.3648    989.3648
-0.0006    -0.002    -0.001    35009.324    1842.596    30338.8569    2022.5905    4670.4672    4670.4672
0.0002    -0.004    0.001    35044.8172    1844.4641    32223.6571    2148.2438    2821.16    2821.16
0.001    0.0    -0.0005    35095.462    1847.1296    32281.4718    2152.0981    2813.9902    2813.9902
0.0002    -0.0035    0.0015    35127.3566    1848.8082    21544.1669    1436.2778    13583.1897    13583.1897
0.0008    -0.004    0.0015    35159.9651    1850.5245    26720.6766    1781.3784    8439.2885    8439.2885
0.0002    -0.0015    -0.001    35187.0517    1851.9501    31894.3568    2126.2905    3292.6949    3292.6949
-0.0006    -0.004    0.0015    35394.0225    1862.8433    24176.6508    1611.7767    11217.3717    11217.3717
-0.0008    -0.002    0.0    35857.073    1887.2144    33767.5733    2251.1716    2089.4997    2089.4997
0.0008    -0.003    0.0005    35954.45    1892.3395    34394.9805    2292.9987    1559.4695    1559.4695
-0.001    -0.0015    -0.0015    36239.632    1907.3491    27784.1985    1852.2799    8455.4336    8455.4336
0.001    -0.003    0.0015    36347.0    1913.0    20133.6842    1342.2456    16213.3158    16213.3158
-0.001    -0.0035    0.001    36595.2007    1926.0632    29837.2937    1989.1529    6757.9071    6757.9071
-0.0    0.0005    -0.0015    36782.0788    1935.8989    35734.1048    2382.2737    1047.9739    1047.9739
0.001    -0.001    -0.001    36851.0888    1939.531    34671.858    2311.4572    2179.2308    2179.2308
-0.0006    0.0005    -0.002    37001.7938    1947.4628    32395.3246    2159.6883    4606.4692    4606.4692
-0.0006    -0.0025    0.0005    37023.9356    1948.6282    32247.589    2149.8393    4776.3467    4776.3467
-0.001    -0.003    -0.0005    37061.7706    1950.6195    33850.3129    2256.6875    3211.4577    3211.4577
-0.001    -0.0015    -0.0005    37109.051    1953.1079    36243.3689    2416.2246    865.6821    865.6821
-0.0006    -0.0005    -0.002    37141.8904    1954.8363    26167.1764    1744.4784    10974.7141    10974.7141
0.0006    0.001    -0.0015    37195.7244    1957.6697    36567.9556    2437.8637    627.7687    627.7687
-0.0    -0.003    0.0    37302.0581    1963.2662    36462.501    2430.8334    839.5571    839.5571
-0.0006    0.0    -0.0015    37303.8858    1963.3624    35474.6041    2364.9736    1829.2817    1829.2817
0.0008    -0.0015    0.0005    37509.3938    1974.1786    29132.3346    1942.1556    8377.0592    8377.0592
-0.0002    -0.0025    -0.0005    38233.1393    2012.2705    36091.9717    2406.1314    2141.1677    2141.1677
0.0004    -0.0025    0.001    38325.7279    2017.1436    27296.8599    1819.7907    11028.868    11028.868
-0.0002    -0.0015    0.0    38433.2025    2022.8001    35262.0218    2350.8015    3171.1807    3171.1807
-0.0004    -0.001    -0.0005    38498.2999    2026.2263    37274.8055    2484.987    1223.4944    1223.4944
0.0002    -0.0035    0.0005    38789.8175    2041.5693    37788.8416    2519.2561    1000.9759    1000.9759
0.001    -0.004    0.002    38890.4646    2046.8666    20142.7751    1342.8517    18747.6895    18747.6895
0.0004    0.0    -0.002    38935.3378    2049.2283    29871.7602    1991.4507    9063.5776    9063.5776
0.0008    -0.004    0.002    39127.1828    2059.3254    19822.3701    1321.4913    19304.8126    19304.8126
-0.0    -0.001    -0.0015    39768.9335    2093.1018    32972.4382    2198.1625    6796.4953    6796.4953
0.0008    -0.0005    -0.0015    39976.6241    2104.0328    34909.6925    2327.3128    5066.9315    5066.9315
-0.0    -0.0035    0.0015    40122.594    2111.7155    26065.5228    1737.7015    14057.0712    14057.0712
0.0008    -0.003    0.0015    40318.6335    2122.0333    23587.1269    1572.4751    16731.5066    16731.5066
-0.0004    -0.003    0.001    40609.6388    2137.3494    31683.4159    2112.2277    8926.2229    8926.2229
-0.0    -0.002    0.0005    40786.9457    2146.6814    34205.0494    2280.3366    6581.8963    6581.8963
0.0002    -0.0005    -0.0005    40823.0013    2148.579    38880.5922    2592.0395    1942.4091    1942.4091
0.0006    -0.004    0.002    40860.2521    2150.5396    20990.1405    1399.3427    19870.1116    19870.1116
0.0006    -0.002    -0.0005    40890.8174    2152.1483    39555.6316    2637.0421    1335.1857    1335.1857
-0.0006    -0.0005    -0.001    40982.2378    2156.9599    40243.4005    2682.8934    738.8373    738.8373
-0.0008    -0.0015    -0.0015    41047.5522    2160.3975    32257.185    2150.479    8790.3672    8790.3672
0.001    -0.0035    0.001    41047.9306    2160.4174    37140.1443    2476.0096    3907.7863    3907.7863
0.001    -0.004    0.0015    41111.9329    2163.7859    33036.8103    2202.454    8075.1226    8075.1226
-0.0004    -0.0005    -0.002    41207.5976    2168.8209    29842.6659    1989.5111    11364.9316    11364.9316
-0.0008    -0.004    0.0015    41412.8638    2179.6244    29765.92    1984.3947    11646.9439    11646.9439
0.0008    -0.0025    0.0    41416.0826    2179.7938    40766.4077    2717.7605    649.6749    649.6749
-0.0004    -0.002    -0.001    41583.0611    2188.5822    36677.2537    2445.1502    4905.8075    4905.8075
0.0004    0.0015    -0.002    41874.1165    2203.9009    40144.9145    2676.3276    1729.2019    1729.2019
0.0004    -0.001    0.0    41944.7846    2207.6202    37330.8204    2488.7214    4613.9642    4613.9642
0.001    0.002    -0.002    42036.3341    2212.4386    41090.1035    2739.3402    946.2306    946.2306
-0.0    0.0    -0.001    42120.0587    2216.8452    41386.1753    2759.0784    733.8834    733.8834
