#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
-0.0004    0.0    -0.002    17303.5151    910.7113    2034.8635    135.6576    15268.6516    15268.6516
-0.001    0.0005    -0.001    17394.1875    915.4836    13454.6634    896.9776    3939.5241    3939.5241
0.0004    -0.002    -0.001    17403.2983    915.9631    5696.3106    379.754    11706.9877    11706.9877
0.0002    0.0    -0.0005    17434.7552    917.6187    10609.7154    707.3144    6825.0398    6825.0398
-0.001    -0.0005    -0.0005    17461.6803    919.0358    11950.2873    796.6858    5511.393    5511.393
0.0006    -0.003    -0.0005    17488.9736    920.4723    7832.5519    522.1701    9656.4217    9656.4217
-0.0008    -0.0025    0.0005    17703.9955    931.7892    8492.2634    566.1509    9211.7321    9211.7321
0.0002    0.003    -0.002    17705.5764    931.8724    15395.8632    1026.3909    2309.7133    2309.7133
0.0008    -0.003    0.001    17812.6141    937.506    5138.7558    342.5837    12673.8583    12673.8583
-0.001    0.0015    -0.0015    17855.1202    939.7432    15132.869    1008.8579    2722.2512    2722.2512
0.0002    -0.001    -0.0015    17956.5979    945.0841    3972.1832    264.8122    13984.4148    13984.4148
-0.0006    -0.0035    0.001    17989.3673    946.8088    6776.8999    451.7933    11212.4674    11212.4674
-0.001    -0.0015    0.0    18057.5985    950.3999    10619.7406    707.9827    7437.8579    7437.8579
-0.0002    0.0    -0.002    18187.9456    957.2603    2316.4981    154.4332    15871.4475    15871.4475
0.0008    -0.004    0.0    18213.6238    958.6118    10380.907    692.0605    7832.7168    7832.7168
-0.0008    -0.0035    -0.0005    18302.6763    963.2988    6803.266    453.5511    11499.4103    11499.4103
0.0002    -0.001    0.0    18401.3324    968.4912    9361.9917    624.1328    9039.3407    9039.3407
0.0004    -0.002    0.0005    18433.7625    970.198    7388.1779    492.5452    11045.5845    11045.5845
