  Kin_Group[f,0]/     W_mean_fit[f,1]/     W_mean_fit_err[f,2]/     W_sigma_fit[f,3]/  
 hms_coin_kg1    0.943624      6.86379e-05       0.0160834
 hms_coin_kg2    0.943545      6.93381e-05       0.0159771
 hms_coin_kg3    0.944416      9.09591e-05       0.0213871
 hms_coin_kg4    0.94413      8.71584e-05       0.0205408
 hms_coin_kg5    0.94465      0.000131397       0.0273313
 hms_coin_kg6    0.945847      0.000158558       0.0329185
 hms_coin_kg7    0.945294      0.000143317       0.0302773
 hms_coin_kg8    0.942386      3.25038e-05       0.00886792
 hms_coin_kg9    0.943401      6.87826e-05       0.0155406
 hms_coin_kg10    0.943548      7.87811e-05       0.0187077
 hms_coin_kg11    0.944826      0.000134214       0.0279259
