# The dObs_ means differential of observable dW, dEm, dPmx, dPmz 
#!x[i,1]/    residual[f,2]/    residual_err[f,3]/   dObs_meas[f,4]/   dObs_meas_err[f,5]/    dObs_model[f,6]/    dObs_model_err[f,7]/
  0   -9.15451e-05   0.00100947   -0.002538   0.000870043   -0.00244645   0.000511922
  1   0.00148108   0.000964438   0.00106944   0.000859499   -0.000411638   0.000437495
  2   -0.000649998   0.000960195   -0.000702742   0.000857089   -5.2744e-05   0.000432867
  3   0.000160451   0.000947612   -5.252e-05   0.000863585   -0.000212971   0.000390115
  4   -0.000467545   0.00121042   -0.004251   0.000935568   -0.00378345   0.000768006
  5   -0.000367392   0.000971129   -0.00077903   0.000867   -0.000411638   0.000437495
  6   -0.000923598   0.00105547   -0.00040169   0.000871631   0.000521908   0.000595209
  7   -0.000852438   0.000950494   -0.00108461   0.000861404   -0.000232172   0.000401773
  8   0.000922244   0.00111477   0.000234   0.000856006   -0.000688244   0.000714126
  9   9.27477e-05   0.000959886   -0.00031889   0.000854388   -0.000411638   0.000437495
  10   0.000928935   0.000925948   0.000126153   0.000854225   -0.000802782   0.000357321
  11   -0.000806813   0.000932164   -0.00101527   0.000854491   -0.000208457   0.000372523
