# The dObs_ means differential of observable dW, dEm, dPmx, dPmz 
#!x[i,1]/    residual[f,2]/    residual_err[f,3]/   dObs_meas[f,4]/   dObs_meas_err[f,5]/    dObs_model[f,6]/    dObs_model_err[f,7]/
  0   -8.47459e-05   0.00100912   -0.002538   0.000870043   -0.00245325   0.000511215
  1   0.00110547   0.000950139   0.00106944   0.000859499   -3.60269e-05   0.000405
  2   -0.000514881   0.000958183   -0.000702742   0.000857089   -0.000187861   0.000428386
  3   0.000384427   0.000942382   -5.252e-05   0.000863585   -0.000436947   0.000377234
  4   -0.00146121   0.00110799   -0.004251   0.000935568   -0.00278979   0.000593593
  5   -0.000743003   0.00095693   -0.00077903   0.000867   -3.60269e-05   0.000405
  6   -0.000414207   0.00102869   -0.00040169   0.000871631   1.25169e-05   0.000546326
  7   -0.000629246   0.000945366   -0.00108461   0.000861404   -0.000455364   0.000389485
  8   0.00224469   0.000952859   0.000234   0.000856006   -0.00201069   0.000418562
  9   -0.000282863   0.000945518   -0.00031889   0.000854388   -3.60269e-05   0.000405
  10   0.00054191   0.000908321   0.000126153   0.000854225   -0.000415757   0.000308781
  11   -0.00061062   0.000928046   -0.00101527   0.000854491   -0.00040465   0.000362097
