# The dObs_ means differential of observable dW, dEm, dPmx, dPmz 
#! x[i,1]/    residual[f,2]/    residual_err[f,3]/   dObs_meas[f,4]/   dObs_meas_err[f,5]/    dObs_model[f,6]/    dObs_model_err[f,7]/
  0   -0.000186723   0.000997375   -0.002538   0.000870043   -0.00235128   0.000487629
  1   0.00165497   0.000923653   0.00106944   0.000859499   -0.000585527   0.000338225
  2   -0.000445845   0.000902265   -0.000702742   0.000857089   -0.000256897   0.000281924
  3   6.53084e-05   0.000935405   -5.252e-05   0.000863585   -0.000117828   0.000359448
  4   -0.000495685   0.00120919   -0.004251   0.000935568   -0.00375531   0.000766065
  5   -0.000193503   0.000930637   -0.00077903   0.000867   -0.000585527   0.000338225
  6   -0.000682002   0.000980325   -0.00040169   0.000871631   0.000280312   0.000448662
  7   -0.000963072   0.000933958   -0.00108461   0.000861404   -0.000121538   0.000360915
  8   0.000738909   0.00107667   0.000234   0.000856006   -0.000504909   0.000653045
  9   0.000266637   0.000918899   -0.00031889   0.000854388   -0.000585527   0.000338225
  10   0.0010996   0.000885324   0.000126153   0.000854225   -0.000973448   0.000232591
  11   -0.000875825   0.000925679   -0.00101527   0.000854491   -0.000139445   0.000355985
