# The dObs_ means differential of observable dW, dEm, dPmx, dPmz 
#! x[i,1]/    residual[f,2]/    residual_err[f,3]/   dObs_meas[f,4]/   dObs_meas_err[f,5]/    dObs_model[f,6]/    dObs_model_err[f,7]/
  0   -0.000340592   0.000993532   -0.002538   0.000870043   -0.00219741   0.000479721
  1   0.00147099   0.000920824   0.00106944   0.000859499   -0.000401546   0.000330422
  2   7.59103e-05   0.000881991   -0.000702742   0.000857089   -0.000778652   0.000208103
  3   0.000189616   0.000934115   -5.252e-05   0.000863585   -0.000242136   0.000356079
  4   -0.00181624   0.00108124   -0.004251   0.000935568   -0.00243476   0.000542027
  5   -0.000377484   0.00092783   -0.00077903   0.000867   -0.000401546   0.000330422
  6   0.00038301   0.000895071   -0.00040169   0.000871631   -0.0007847   0.000203497
  7   -0.000866232   0.00093315   -0.00108461   0.000861404   -0.000218378   0.000358819
  8   0.00211928   0.000948528   0.000234   0.000856006   -0.00188528   0.000408606
  9   8.26562e-05   0.000916056   -0.00031889   0.000854388   -0.000401546   0.000330422
  10   0.000895498   0.000880746   0.000126153   0.000854225   -0.000769345   0.000214504
  11   -0.00074246   0.000924208   -0.00101527   0.000854491   -0.00027281   0.000352144
